Date,Symbols,Close,High,Low,Open,Volume
2021-02-04,GOOGL,2053.63,2069.3,2035.1,2060.6156,2429780.0
2021-02-04,FB,266.49,268.16,264.0,267.01,16059958.0
2021-02-04,TWTR.US,56.51,56.52,54.44,54.79,10999268.0
2021-02-04,MSFT.US,240.43,241.66,238.81,241.08,25461557.0
2021-02-04,TTST.UK,8.6808,9.1522,8.563,9.1522,72684.0
2021-02-05,AMZN,3352.15,3377.0,3302.71,3319.0,3620808.0
2021-02-05,GOOGL,2088.83,2095.94,2050.0,2059.56,1493256.0
2021-02-05,FB,268.1,269.17,265.67,266.8,12454367.0
2021-02-05,TWTR.US,56.78,57.44,55.03,56.02,16889664.0
2021-02-05,MSFT.US,240.62,241.7,238.86,240.65,18172846.0
2021-02-05,TTST.UK,9.3289,9.4468,8.8576,8.8772,3561.0
2021-02-08,AMZN,3322.94,3364.9999,3304.0,3358.5,3257391.0
2021-02-08,GOOGL,2084.52,2115.0,2063.35,2100.0,1441443.0
2021-02-08,FB,266.58,269.86,265.0,268.75,13755191.0
2021-02-08,TWTR.US,58.2,59.6,57.38,57.8,18406231.0
2021-02-08,MSFT.US,240.89,242.1,239.25,241.57,22357214.0
2021-02-08,TTST.UK,9.4271,9.4861,9.1915,9.1915,5538.0
2021-02-09,AMZN,3305.0,3338.0,3297.84,3312.49,2203526.0
2021-02-09,GOOGL,2075.39,2098.51,2070.0,2074.8,1094583.0
2021-02-09,FB,269.45,273.39,265.75,266.44,14613375.0
2021-02-09,TWTR.US,59.87,60.73,58.55,58.64,38253777.0
2021-02-09,MSFT.US,242.19,243.17,239.82,240.29,23719088.0
2021-02-09,TTST.UK,9.663,9.761,8.8969,9.3879,54861.0
2021-02-10,AMZN,3286.58,3317.9548,3254.0,3314.0,3151550.0
2021-02-10,GOOGL,2086.48,2098.88,2052.24,2083.14,1255080.0
2021-02-10,FB,271.87,273.7999,267.72,272.4465,14687152.0
2021-02-10,TWTR.US,67.77,69.25,63.2,65.8,73649183.0
2021-02-10,MSFT.US,241.24,244.31,239.33,243.41,22331825.0
2021-02-10,TTST.UK,9.2111,9.3093,9.0736,9.2307,86235.0
2021-02-11,AMZN,3262.13,3292.0,3248.06,3292.0,2301417.0
2021-02-11,GOOGL,2088.75,2094.0,2068.86,2091.0,1024029.0
2021-02-11,FB,270.39,273.58,268.49,271.89,12828572.0
2021-02-11,TWTR.US,68.56,69.02,66.5801,67.99,30470036.0
2021-02-11,MSFT.US,242.9,243.56,240.57,243.19,15854084.0
2021-02-11,TTST.UK,9.3289,9.3682,9.1325,9.2897,52240.0
2021-02-12,AMZN,3277.71,3280.25,3233.31,3250.0,2335339.0
2021-02-12,GOOGL,2095.03,2099.5,2073.57,2079.77,949525.0
2021-02-12,FB,270.5,271.18,268.34,270.52,9097597.0
2021-02-12,TWTR.US,71.9,73.18,68.4,68.56,38044249.0
2021-02-12,MSFT.US,243.4,243.71,241.15,242.35,16669402.0
2021-02-12,TTST.UK,9.1522,9.2111,9.1522,9.2111,1630.0
2021-02-15,TTST.UK,9.0933,9.1325,9.0933,9.1325,337.0
2021-02-16,AMZN,3268.95,3308.3,3253.591,3254.05,2574721.0
2021-02-16,GOOGL,2110.7,2145.14,2091.75,2091.75,1550195.0
2021-02-16,FB,273.97,276.6,270.05,270.8,15417243.0
2021-02-16,TWTR.US,73.96,74.84,71.8135,72.19,27748039.0
2021-02-16,MSFT.US,242.12,244.52,241.34,243.41,26903314.0
2021-02-16,TTST.UK,9.2897,9.525,9.2111,9.3682,8654.0
2021-02-17,AMZN,3308.64,3320.91,3259.4996,3263.6,3302099.0
2021-02-17,GOOGL,2118.62,2122.4434,2088.35,2093.98,1015177.0
2021-02-17,FB,273.57,273.97,269.58,271.24,12763240.0
2021-02-17,TWTR.US,71.79,73.28,70.13,73.05,21422569.0
2021-02-17,MSFT.US,243.17,243.28,239.92,240.3,21764741.0
2021-02-17,TTST.UK,9.3486,9.3486,9.3486,9.3486,432.0
2021-02-18,AMZN,3328.23,3338.0,3273.94,3282.42,3033607.0
2021-02-18,GOOGL,2105.81,2121.99,2093.33,2105.0,1128549.0
2021-02-18,FB,269.39,271.95,266.03,269.565,15249134.0
2021-02-18,TWTR.US,72.26,72.9,70.36,70.74,16072092.0
2021-02-18,MSFT.US,242.77,242.9,239.85,240.78,16997123.0
2021-02-18,TTST.UK,9.2504,9.565,9.1129,9.4861,21388.0
2021-02-19,AMZN,3249.9,3333.5,3245.75,3328.23,4305184.0
2021-02-19,GOOGL,2088.81,2118.58,2083.43,2107.79,1896939.0
2021-02-19,FB,261.56,270.27,260.15,269.86,25622587.0
2021-02-19,TWTR.US,72.28,74.96,71.88,72.97,25910960.0
2021-02-19,MSFT.US,239.95,242.84,239.17,242.73,25369408.0
2021-02-19,TTST.UK,8.9951,9.054,8.8379,8.9951,27704.0
2021-02-22,AMZN,3180.74,3232.3199,3172.26,3208.13,3515679.0
2021-02-22,GOOGL,2054.26,2080.33,2048.0,2053.6,1473317.0
2021-02-22,FB,260.33,263.07,257.53,257.95,17434873.0
2021-02-22,TWTR.US,70.49,73.75,70.42,71.73,21049583.0
2021-02-22,MSFT.US,233.52,236.93,231.42,236.42,36601030.0
2021-02-22,TTST.UK,9.1129,9.27,9.054,9.1522,27008.0
